name,ra,dec,redshift
SN 2010gh,327.1469,12.97615,
SN 2011dg,327.13713,12.986,
SN 2010iv,248.78605,-48.16293,
SN 1996L,289.16998,17.49715,
SN 2009G,321.57222,15.79803,
SN 1995Q,356.95713,-33.21783,
SN 2011hs,350.26381,-61.80089,
SN 2007it,319.26159,16.71471,
SN 2008ig,304.21619,19.52081,
SN 2011hp,296.205,19.08426,
SN 2012hv,302.1698,19.53693,
SN 2011am,296.20555,19.09188,
SN 1978I,357.36223,-48.64237,
SN 1986G,309.54231,19.40103,
SN 2009ev,307.36885,19.69454,
SN 1993Q,358.16637,-36.65164,
SN 2011dr,357.38222,-31.2896,
SN 2014di,278.64382,-72.56269,
SN 2010cm,278.62169,-72.57108,
SN 1996E,253.11936,34.31104,0.43
SN 2005me,278.57298,-72.56384,
SN 2005Q,278.61498,-72.57704,
SN 1984I,307.47206,19.99077,
SN 2011gm,273.97939,-71.77238,
SN 1991ba,277.85582,-72.70079,
SN 1992af,358.65092,-35.66134,
SN 2012fy,356.64952,-25.95422,
SN 2014cr,356.6525,-25.92308,
SN 1991be,359.02337,-47.22551,
SN 2005my,246.60816,-48.68211,
SN 1980J,350.51847,-64.99721,
SN 2012ca,353.68581,-15.90437,
SN 1991ax,249.8735,-59.05239,
SN 2011bo,355.01479,-19.11578,
SN 2000cl,277.67185,14.56802,
SN 2007ft,302.05382,21.27484,
SN 1998el,248.01563,-56.26205,
SN 1988ai,332.83885,-72.92553,
SN 2009mk,332.84207,-72.92486,
SN 1982M,332.74749,-73.02776,
SN 2014cz,317.16755,-75.21115,
SN 2013F,347.67979,-67.88076,
SN 1997dk,343.01806,-70.12494,
SN 1997dl,343.02268,-70.12541,
SN 2010jt,343.0269,-70.13794,
SN 1997dm,318.93548,-75.35951,
SN 1998dz,247.20734,-56.375,
SN 2001ig,354.82853,-62.80063,
SN 2008cn,300.79455,21.8581,
SN 2009ca,1.08045,-46.01052,
SN 1990I,301.58206,22.12756,
SN 2001jx,301.1382,22.12106,
SN 1982H,355.46798,-63.21864,
SN 2009la,244.3988,-44.82976,
SN 1997dj,284.79506,-75.70148,
SN 2001ge,0.76948,-35.57546,0.22
SN 2013az,246.0267,-30.27018,
SN 2004dm,358.1004,-60.49938,0.225
SN 1993S,357.07452,-62.13195,
SN 2008hw,358.82611,-59.90474,0.53
SN 1990ab,1.77585,-51.31609,
SN 2009bb,275.81881,15.4373,
SN 2009hg,303.61421,23.01289,
SN 2003lw,255.7364,-4.80149,0.105
SN 2010ev,274.72931,14.91659,
SN 2014ba,358.02276,-62.83359,
SN 2001cz,302.10647,23.28541,
SN 1992bc,245.69465,-59.63475,
SN 1998ei,350.88245,-69.36205,
SN 1999Y,243.65508,-53.64097,
SN 1998db,358.35945,-63.06315,
SN 1998da,323.68644,-76.71283,
SN 2013fe,245.52414,-59.93444,
SN 2010hc,0.75369,-28.55523,
SN 2012hc,249.41907,-65.70041,
SN 1982U,247.83343,-19.63288,
SN 2005bq,318.2872,21.44851,
SN 2012gk,243.64644,-33.25037,
SN 1983A,303.18465,23.83839,
SN 2006co,303.1961,23.84086,
SN 2008ib,303.18554,23.84544,
SN 1994ag,242.29382,-50.49653,
SN 2014bt,3.72532,-49.29892,
SN 1998ej,349.67221,-71.15408,
SN 1997fc,242.69121,-37.59609,
SN 2008dp,289.97627,22.53257,
SN 2010kt,242.41274,-37.43722,
SN 2001dh,2.55617,-32.64977,
SN 2012he,242.38536,-37.39886,
SN 1997fb,242.37747,-37.31762,
SN 2006bn,1.89249,-29.34935,
SN 2011ii,250.2396,-11.97722,
SN 2008jb,241.44589,-50.87178,
SN 2012ba,332.91626,15.72655,
SN 2010W,291.25972,23.44378,
SN 2012gw,271.19923,14.60452,
SN 2008bq,247.00319,-18.22558,
SN 2011bb,286.81977,22.46752,
SN 1998ek,246.61593,-19.04165,
SN 1982L,353.80326,-70.87355,
SN 2007iw,317.57064,23.04055,
SN 2013M,317.56725,23.05335,
SN 2007gj,248.47197,-68.64175,
SN 1984H,245.65817,-21.07329,
SN 1983Q,334.38717,-77.30563,
SN 2010da,299.00949,-79.40502,
SN 2012J,328.67797,18.94161,
SN 2008fl,1.6981,-24.61361,
SN 2010dv,289.46347,23.71828,
SN 2004fb,3.82604,-32.04716,
SN 1993af,241.19343,-35.83779,
SN 2014dw,281.704,21.23821,
SN 1992aq,1.77584,-65.31515,0.1
SN 2013hf,245.18705,-20.9485,
SN 2004ee,250.5333,-71.22927,
SN 2011gt,3.09649,-28.39942,
SN 2012at,240.52425,-38.39581,
SN 1992bs,240.02814,-55.34567,
SN 2004cz,0.86335,-66.89707,
SN 2006mr,240.1615,-56.68641,
SN 1980N,240.16132,-56.68923,
SN 1981D,240.16132,-56.68923,
SN 2006dd,240.15454,-56.69092,
SN 1965J,240.04097,-57.0224,
SN 1982T,245.9904,-17.97625,
SN 1983Z,3.46231,-63.86537,
SN 1992at,6.65273,-46.13999,
SN 2010gu,6.15649,-56.55805,
SN 2007X,324.01254,21.82954,
SN 2012Q,246.28198,-16.81061,
SN 1999ex,6.49527,-55.92076,
SN 1999ee,6.50071,-55.93018,
SN 2007oc,4.01872,-63.94478,
SN 1983M,4.03269,-63.96763,
SN 2006av,240.64372,-61.68665,
SN 1980M,245.51684,-18.13688,
SN 2012bb,295.87439,25.98147,
SN 2011jl,275.90401,19.67992,
SN 2001gi,238.52523,-43.62126,0.2
SN 2004ae,238.46423,-43.5812,0.48
SN 1969A,238.09988,-53.95887,
SN 2012R,322.51765,23.21348,
SN 1983V,237.97172,-54.61359,
SN 2001du,237.96123,-54.62227,
SN 1957C,237.95648,-54.59933,
SN 2012fr,237.93336,-54.60008,
SN 2009dt,7.96931,-54.77896,
SN 2015ao,251.7107,-74.56286,
SN 1993L,5.94792,-64.37827,
SN 1999ao,243.83006,-20.02312,
SN 1982G,309.74997,26.67345,
SN 1998O,313.78905,26.07898,
SN 2002bq,263.44623,11.36395,
SN 2010hx,272.89362,18.81614,
SN 2011iv,236.95166,-53.55674,
SN 2006th,72.17083,-63.32585,0.14
SN 2007on,236.92274,-53.5587,
SN 1981I,238.29271,-61.95192,
SN 2009nb,272.69355,18.81802,
SN 1993ag,268.43498,15.92919,
SN 1998P,313.35228,26.48312,
SN 1996S,283.76789,24.20008,0.11
SN 2009kl,269.0199,16.65656,
SN 2008ik,236.33845,-54.11527,
SN 1992aj,358.35876,-74.21127,
SN 1998cw,7.65015,-64.20006,
SN 1970N,284.7195,-81.54762,
SN 1992A,235.89646,-54.05954,
SN 2010bt,9.9383,-50.35492,
SN 1982Q,238.79363,-67.14964,
SN 2011fo,7.69639,-34.45243,
SN 2014cc,243.28947,-18.41828,
SN 2008il,240.78022,-69.99744,
SN 1992bq,270.26059,18.13805,
SN 2013du,262.18596,-79.6539,
SN 2004eq,10.59841,-52.15779,
SN 2010ma,306.92474,-82.54221,0.55
SN 2010ac,318.29168,26.35104,
SN 1993B,273.32346,20.46042,
SN 2013fd,254.03293,-78.33165,
SN 2011hu,242.74219,-18.28317,
SN 2013E,267.05265,16.44146,
SN 2010F,267.93241,17.12868,
SN 1992bo,261.99621,-80.34777,
SN 1999ca,267.93059,17.14133,
SN 1997cv,313.18635,27.79272,
SN 2004ip,0.14862,-11.30773,
SN 2000ca,313.20411,27.83341,
SN 2014X,293.37062,28.05243,
SN 2006ds,10.55053,-64.18134,
SN 1994ah,234.81864,-62.31536,
SN 2011jo,354.22793,-78.58808,
SN 1997cz,313.69402,28.12233,
SN 2011gz,326.35427,-82.83167,
SN 1959A,233.61288,-55.1682,
SN 2011bj,10.21891,-38.73316,
SN 2012dw,11.44278,-44.9512,
SN 1980G,313.04937,28.53223,
SN 2009fr,251.29882,-79.14026,
SN 1979F,234.6754,-65.84841,
SN 2004cy,12.05682,-47.3897,
SN 2010lv,309.70559,29.24442,
SN 2009gj,338.30316,-82.4146,
